Game,Date,Home player 1,Home player 2,Home player 3,Home player 4,Home player 5,Away player 1,Away player 2,Away player 3,Away player 4,Away player 5,Quarter,Minutes,Home score,Away score,Play id,Team,Offensive system,Defensive system,Player,Event,Description
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,张帆,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,40:00,0,0,0,auba-s2-小姜,,,小姜,Turnover,小姜 loses the ball
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,张帆,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,40:00,0,0,1,auba-s2-mail,,,刘茗轩,Steal,刘茗轩 steals the ball
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,40:00,0,0,2,auba-s2-mail,,,张帆,Sub out,张帆 subs out
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,40:00,0,0,3,auba-s2-mail,,,梁锐,Sub in,梁锐 subs in
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,39:59,0,0,4,auba-s2-mail,,,梁锐,Turnover,梁锐 loses the ball
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,38:45,0,0,5,auba-s2-小姜,,,刘超杰,Two pointer missed,刘超杰 misses a two pointer
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,陈华更,1,38:45,0,0,6,auba-s2-小姜,,,贾楠,Offensive rebound,贾楠 gets an offensive rebound
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,程伟,1,38:45,0,0,7,auba-s2-小姜,,,陈华更,Sub out,陈华更 subs out
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,程伟,1,38:45,0,0,8,auba-s2-小姜,,,程伟,Sub in,程伟 subs in
auba-s2-mail vs auba-s2-小姜,13/11/2025,吕家尧,梁锐,刘贺恒,蒋俊极,刘茗轩,贾楠,刘超杰,林志宇,小姜,程伟,1,38:45,0,0,9,auba-s2-小姜,,,程伟,Two pointer missed,程伟 misses a two pointer
